city,lat,lon,temp,humidity,clouds,windspeed,temp_max
faya,18.39,42.45,16.49,72,5,2.6,17.0
tiarei,-17.53,-149.33,30.0,70,20,2.1,30.0
tricase,39.93,18.36,7.0,93,5,1.5,7.0
rio gallegos,-51.62,-69.22,15.0,30,20,14.9,15.0
sarakhs,36.54,61.16,15.0,72,54,1.54,15.0
puerto ayora,-0.74,-90.35,27.9,69,32,4.1,28.0
aksarka,66.56,67.8,-6.75,93,100,7.92,-6.75
lagoa,39.05,-27.98,17.05,81,0,5.91,17.05
butembo,0.15,29.28,17.95,93,88,1.84,17.95
chiredzi,-21.05,31.67,21.15,91,24,3.39,21.15
jamestown,42.1,-79.24,8.25,36,1,7.7,10.0
nachingwea,-10.38,38.77,21.35,98,80,1.43,21.35
puerto del rosario,28.5,-13.86,18.0,68,40,10.3,18.0
tura,25.52,90.22,18.75,40,67,0.84,18.75
vardo,70.37,31.11,-5.0,73,20,10.3,-5.0
thompson,55.74,-97.86,-10.0,78,90,5.1,-10.0
north platte,41.12,-100.77,3.48,75,90,5.1,5.0
ukiah,39.15,-123.21,10.43,46,90,4.1,13.33
ahipara,-35.17,173.17,18.15,74,100,7.06,18.15
jumla,29.27,82.18,-1.35,38,0,2.42,-1.35
dogondoutchi,13.64,4.03,29.65,10,100,4.45,29.65
sorland,67.67,12.69,0.0,70,75,1.5,0.0
kuznechnoye,61.12,29.87,-2.08,82,0,2.67,-0.56
constitucion,-35.33,-72.42,17.45,65,33,4.73,17.45
narsaq,60.92,-46.05,-14.55,77,2,1.09,-14.55
hasaki,35.73,140.83,-2.93,86,20,0.5,-2.0
bethel,41.37,-73.41,4.48,52,90,7.2,6.67
buala,-8.14,159.59,27.05,78,77,1.42,27.05
labuhan,-6.88,112.21,23.85,93,100,1.09,23.85
krasnaya gora,53.0,31.6,4.0,41,100,6.0,4.0
airai,-8.93,125.41,17.85,83,46,1.7,17.85
vestmanna,62.16,-7.17,5.0,75,33,6.2,5.0
birin,26.89,88.07,8.85,60,100,1.7,8.85
sungai besar,3.67,100.99,25.86,94,20,3.15,26.0
new norfolk,-42.78,147.06,10.73,76,91,4.6,12.0
pacific grove,36.62,-121.92,10.63,71,94,0.86,12.78
piranshahr,36.7,45.14,1.55,98,98,2.39,1.55
dalvik,65.97,-18.53,1.0,86,82,4.1,1.0
iwaki,37.05,140.88,0.06,67,0,0.89,0.56
kruisfontein,-34.0,24.73,16.45,79,12,9.83,16.45
bayir,37.27,28.22,10.0,37,14,3.1,10.0
shangrao,28.45,117.97,13.25,82,100,0.14,13.25
lerwick,60.15,-1.15,7.0,87,100,12.9,7.0
high level,58.52,-117.14,-4.0,35,75,1.0,-4.0
quatre cocos,-20.21,57.76,23.43,100,75,1.5,23.89
bandarbeyla,9.49,50.81,26.15,77,57,6.03,26.15
ust-tsilma,65.44,52.15,-1.85,88,100,4.3,-1.85
gornopravdinsk,60.05,69.9,-12.05,93,0,2.79,-12.05
florianopolis,-27.61,-48.5,23.56,69,75,3.6,26.67
kaoma,-14.78,24.8,18.95,96,88,2.3,18.95
kalmunai,7.42,81.82,27.85,80,50,6.2,27.85
porto nacional,-10.71,-48.42,24.0,94,75,2.6,24.0
ailigandi,9.23,-78.02,27.15,68,91,4.46,27.15
karratha,-20.74,116.85,29.55,70,0,4.47,29.55
cayenne,4.93,-52.33,29.0,70,75,4.6,29.0
saint-pierre,-21.34,55.48,22.81,88,66,2.1,24.0
tanete,-3.94,119.78,23.75,95,97,0.38,23.75
tazovskiy,67.47,78.7,-18.15,87,100,7.84,-18.15
avera,33.19,-82.53,15.91,67,90,1.5,18.0
nome,64.5,-165.41,-1.67,96,90,3.1,-1.67
hervey bay,-25.3,152.85,20.0,68,27,4.6,20.0
saint-philippe,-21.36,55.77,22.76,88,99,2.1,24.0
san juan,-31.54,-68.54,31.35,20,0,1.92,31.35
san vicente,-26.62,-54.13,27.15,56,70,2.07,27.15
chicama,-7.84,-79.15,24.0,83,75,4.1,24.0
dikson,73.51,80.55,-19.05,90,100,12.42,-19.05
nauta,-4.51,-73.58,26.85,93,100,1.02,26.85
inverell,-29.78,151.12,13.68,77,1,1.79,14.44
leshukonskoye,64.9,45.76,-1.15,85,97,6.35,-1.15
brownsville,25.9,-97.5,26.21,61,1,8.7,27.0
kortkeros,61.81,51.58,-2.0,74,90,5.0,-2.0
ust-koksa,50.27,85.61,-4.05,59,100,2.42,-4.05
hami,42.8,93.45,4.45,26,0,0.49,4.45
fare,-16.7,-151.02,28.45,70,13,2.95,28.45
saint george,37.1,-113.58,17.16,36,1,2.6,20.0
kantabanji,20.48,82.92,25.75,47,15,0.75,25.75
mehamn,71.04,27.85,-4.53,85,40,20.6,-4.0
makakilo city,21.35,-158.09,22.99,100,90,6.2,26.0
muyezerskiy,63.93,31.65,-6.35,80,0,4.76,-6.35
punta alta,-38.88,-62.07,25.65,43,5,1.79,25.65
pevek,69.7,170.31,-5.35,81,100,11.06,-5.35
sao filipe,14.9,-24.5,20.65,77,43,9.78,20.65
kenai,60.55,-151.26,-1.69,53,1,4.1,0.56
chongwe,-15.33,28.68,20.0,94,100,0.5,20.0
karoi,-16.81,29.69,18.75,83,100,3.47,18.75
francistown,-21.17,27.51,21.25,61,0,4.74,21.25
sitka,57.05,-135.33,3.42,86,90,3.1,4.0
robertsport,6.75,-11.37,28.05,84,94,4.79,28.05
presidencia roque saenz pena,-26.79,-60.44,32.05,44,10,1.54,32.05
hassan,13.0,76.1,22.65,60,51,2.7,22.65
tuktoyaktuk,69.45,-133.04,-12.0,85,90,6.2,-12.0
flinders,-34.58,150.86,15.75,100,60,2.6,17.22
saint anthony,45.02,-93.22,3.09,72,90,5.7,4.0
kualakapuas,-3.01,114.39,25.0,94,40,3.1,25.0
sao francisco,-15.95,-44.86,23.65,91,37,0.97,23.65
coihaique,-45.58,-72.07,15.56,63,75,1.5,16.0
souillac,-20.52,57.52,23.38,100,75,1.5,23.89
severo-kurilsk,50.68,156.12,-7.85,90,94,0.82,-7.85
butaritari,3.07,172.79,28.65,76,65,5.99,28.65
sur,22.57,59.53,19.15,76,0,2.32,19.15
hastings,50.86,0.57,5.64,87,0,4.6,7.22
bambous virieux,-20.34,57.76,23.4,100,75,1.5,23.89
te anau,-45.42,167.72,4.75,74,0,1.93,4.75
ostrovnoy,68.05,39.51,-8.15,88,20,7.6,-8.15
kologriv,58.83,44.32,-0.85,86,100,4.91,-0.85
yen bai,21.7,104.87,22.45,93,98,0.83,22.45
kiunga,-6.12,141.29,22.45,98,98,0.55,22.45
mount gambier,-37.83,140.77,15.0,58,31,4.1,15.0
provideniya,64.38,-173.3,-4.0,92,90,2.0,-4.0
verkhnevilyuysk,63.45,120.32,-7.85,96,97,2.48,-7.85
baoqing,46.33,132.21,-9.85,77,0,1.81,-9.85
tivaouane,14.95,-16.81,22.0,78,14,8.2,22.0
kodino,63.72,39.64,-3.55,84,100,5.43,-3.55
muriwai beach,-36.82,174.45,17.9,52,100,7.7,18.33
krasnoselkup,65.7,82.47,-26.05,76,0,4.35,-26.05
isiro,2.77,27.62,22.85,62,38,0.76,22.85
kamenka,51.32,42.77,-3.33,86,0,0.89,-3.33
shakawe,-18.37,21.85,19.65,92,90,2.5,19.65
tres arroyos,-38.37,-60.28,27.05,21,0,4.67,27.05
arraial do cabo,-22.97,-42.03,29.0,66,40,5.7,29.0
gorontalo,0.54,123.06,21.95,91,72,1.9,21.95
lebu,-37.62,-73.65,18.05,61,100,5.15,18.05
viedma,-40.81,-63.0,28.05,20,76,7.16,28.05
luderitz,-26.65,15.16,18.0,88,0,4.1,18.0
egvekinot,66.32,-179.17,-7.15,96,100,3.55,-7.15
sishui,35.65,117.28,11.67,38,89,0.45,11.67
westport,41.14,-73.36,4.47,56,90,5.7,6.11
zhicheng,30.3,111.5,12.22,81,100,1.69,12.22
yashan,22.2,109.94,20.05,88,100,4.56,20.05
sorong,-0.88,131.25,21.95,98,76,0.61,21.95
yerbogachen,61.28,108.01,-3.55,95,100,4.39,-3.55
sabinas hidalgo,26.5,-100.17,29.75,46,100,4.42,29.75
tuatapere,-46.13,167.68,9.44,85,0,1.34,9.44
hare bay,48.85,-54.01,-7.1,28,20,3.1,-7.0
tongchuan,35.08,109.09,8.05,25,34,2.56,8.05
nanortalik,60.14,-45.24,-7.05,56,0,17.96,-7.05
grand gaube,-20.01,57.66,23.47,100,75,1.5,23.89
jalu,29.03,21.55,20.95,21,0,0.4,20.95
cuenca,-2.88,-78.98,22.0,60,75,6.7,22.0
kota belud,6.35,116.43,23.3,83,20,2.6,23.89
olafsvik,64.89,-23.71,-0.05,91,100,19.0,-0.05
kjollefjord,70.95,27.35,-5.0,92,90,14.9,-5.0
matagami,49.75,-77.63,-2.0,39,75,10.3,-2.0
rawson,-43.3,-65.1,21.45,54,37,2.21,21.45
buraydah,26.33,43.98,19.0,55,0,2.6,19.0
faanui,-16.48,-151.75,28.25,73,17,3.88,28.25
port alfred,-33.59,26.89,17.78,85,36,0.89,17.78
gushikawa,26.35,127.87,12.61,93,75,2.1,15.0
saskylakh,71.92,114.08,-31.35,91,100,6.39,-31.35
mangrol,21.12,70.12,25.65,54,49,3.7,25.65
gjovik,60.79,10.69,0.49,88,100,3.13,3.33
asilah,35.47,-6.03,13.55,62,20,4.1,14.0
mattru,7.62,-11.83,26.95,78,100,2.27,26.95
samoded,63.61,40.51,-3.65,85,87,5.27,-3.65
srandakan,-7.94,110.25,23.65,92,100,0.63,23.65
jaisinghnagar,23.7,81.38,18.75,41,87,1.81,18.75
turinsk,58.05,63.7,-1.05,96,100,5.07,-1.05
torbay,47.67,-52.73,-5.47,62,20,3.6,-4.44
acari,-15.43,-74.62,20.75,81,99,3.59,20.75
yichang,30.71,111.28,13.05,60,100,1.69,13.05
kenora,49.82,-94.43,-4.12,49,40,5.7,-4.0
vestmannaeyjar,63.44,-20.27,5.55,73,100,12.4,5.55
derzhavinsk,51.1,66.32,2.55,99,100,3.66,2.55
fayaoue,-20.65,166.53,26.55,82,9,6.92,26.55
sao miguel do araguaia,-13.28,-50.16,26.65,83,37,0.36,26.65
victor harbor,-35.57,138.62,21.77,28,100,4.1,22.78
lodja,-3.48,23.43,22.15,94,100,0.78,22.15
dingle,11.0,122.67,21.55,89,0,2.82,21.55
elko,41.0,-115.5,12.55,24,75,5.1,14.0
lamar,33.67,-95.58,13.5,93,90,3.1,16.0
beringovskiy,63.05,179.32,0.05,96,100,9.64,0.05
port-gentil,-0.72,8.78,29.0,83,75,2.6,29.0
port hardy,50.7,-127.42,7.0,36,5,2.1,7.0
muisne,0.6,-80.03,27.0,88,75,2.1,27.0
imeni poliny osipenko,52.42,136.49,-16.15,98,83,2.73,-16.15
broome,42.25,-75.83,7.78,28,1,5.1,10.0
saint-francois,46.42,3.91,10.16,66,92,1.5,11.0
oga,46.46,10.35,0.25,79,24,1.5,3.89
bilma,18.69,12.92,20.95,7,68,1.61,20.95
tirano,46.22,10.17,2.64,79,2,1.5,6.11
cockburn town,21.46,-71.14,27.0,61,40,6.2,27.0
tete,-16.16,33.59,28.0,65,87,4.6,28.0
whitehorse,60.72,-135.05,-2.39,42,75,1.0,-2.0
poum,-20.23,164.02,26.55,80,10,8.06,26.55
abapo,-18.83,-63.47,31.05,45,2,2.76,31.05
gravdal,68.12,13.5,0.0,68,75,1.5,0.0
khomeyn,33.64,50.08,6.35,73,34,1.76,6.35
helong,42.54,129.0,-6.95,91,100,2.48,-6.95
east london,-33.02,27.91,20.35,70,76,8.33,20.35
teknaf,20.86,92.31,19.45,67,50,1.04,19.45
baykit,61.67,96.37,-2.45,95,100,2.36,-2.45
half moon bay,37.46,-122.43,10.26,66,1,3.6,12.0
galgamacsa,47.7,19.39,3.79,55,100,3.1,5.0
robe,-37.18,139.75,17.25,42,85,4.56,17.25
preobrazheniye,42.9,133.91,-4.45,67,0,1.4,-4.45
pelym,61.01,62.0,-6.35,91,0,3.65,-6.35
ampanihy,-24.7,44.75,22.45,84,76,5.24,22.45
san antonio,29.42,-98.49,24.58,61,75,4.1,27.0
selkirk,50.14,-96.88,-5.64,62,20,7.7,-5.0
vila velha,-20.33,-40.29,27.63,74,20,5.7,28.0
tautira,-17.73,-149.15,30.0,70,20,2.1,30.0
okato,-39.2,173.88,12.96,62,100,10.73,14.44
bambanglipuro,-7.95,110.28,23.65,92,100,0.63,23.65
peiting,47.8,10.93,5.05,86,35,2.1,7.0
campbell,38.95,-84.38,7.91,75,90,3.1,9.0
kirensk,57.79,108.11,0.35,90,100,6.29,0.35
terrace,54.52,-128.6,5.0,30,5,1.0,5.0
formosa do rio preto,-11.05,-45.19,21.25,98,100,2.5,21.25
samana,19.21,-69.34,26.0,78,20,6.2,26.0
oktyabrskiy,54.48,53.47,-1.95,92,100,5.2,-1.95
vanimo,-2.67,141.3,26.15,82,100,2.86,26.15
anadyr,64.75,177.48,-3.16,92,40,17.0,-3.0
kynsperk nad ohri,50.12,12.53,5.24,75,69,2.1,8.33
fuzhou,26.06,119.31,15.0,67,44,1.0,15.0
iqaluit,63.75,-68.51,-15.0,77,90,4.6,-15.0
dabola,10.75,-11.12,27.45,18,75,0.12,27.45
dwarka,22.24,68.97,25.05,53,100,5.86,25.05
nelson bay,-32.72,152.15,15.85,100,40,3.6,16.11
aktanysh,55.72,54.08,-3.25,91,94,6.2,-3.25
tokur,53.13,132.9,-16.05,97,100,0.65,-16.05
trelew,-43.25,-65.31,25.35,21,64,7.24,25.35
sibu,2.3,111.82,25.82,88,75,0.63,26.0
kulhudhuffushi,6.62,73.07,28.35,74,100,3.4,28.35
fredericton,45.95,-66.67,-0.95,36,1,3.1,-0.56
alekseyevsk,57.84,108.35,0.45,97,100,5.46,0.45
komsomolskiy,40.43,71.72,12.0,37,95,2.1,12.0
roald,62.58,6.13,4.25,52,40,8.7,6.0
honiara,-9.43,159.95,26.0,88,20,1.5,26.0
ayan,56.45,138.17,-14.75,74,0,3.53,-14.75
banda aceh,5.56,95.32,23.95,93,100,1.92,23.95
victoria,22.29,114.16,19.77,82,20,7.2,20.56
rybinsk,58.04,38.84,0.55,61,100,4.09,0.55
portland,45.52,-122.68,13.92,28,20,10.8,15.56
alice springs,-23.7,133.88,16.0,44,0,2.1,16.0
coolum beach,-26.53,153.1,19.3,75,43,3.32,19.44
ornskoldsvik,63.29,18.72,-1.54,54,96,1.5,-1.0
san rafael,-34.62,-68.33,28.65,27,0,7.1,28.65
eyl,7.98,49.82,26.45,80,73,8.27,26.45
boa vista,2.82,-60.67,35.0,36,40,4.1,35.0
newport,51.59,-3.0,6.15,79,100,3.1,8.33
raudeberg,61.99,5.14,4.71,80,75,13.4,5.56
shenjiamen,29.96,122.3,12.35,74,94,6.88,12.35
noumea,-22.28,166.46,26.35,83,40,1.5,26.67
mahdasht,35.73,50.81,15.28,44,75,3.1,17.0
asosa,10.07,34.53,23.45,18,0,2.07,23.45
college,64.86,-147.8,-1.4,86,90,2.1,1.0
