city,lat,lon,temp,humidity,clouds,windspeed,temp_max
mandal,25.45,74.57,17.55,38,61,2.06,17.55
troitskoye,52.98,84.68,-1.95,98,99,1.47,-1.95
chapleau,47.84,-83.4,-1.0,86,90,7.2,-1.0
apollonia,36.97,24.72,9.49,57,0,13.9,10.0
leningradskiy,69.38,178.42,-4.85,76,100,5.05,-4.85
yeniseysk,58.45,92.17,-7.55,88,100,7.07,-7.55
pierre,44.37,-100.35,0.55,58,90,6.7,1.11
namatanai,-3.67,152.43,27.85,79,100,1.74,27.85
griffith,41.53,-87.42,4.1,80,90,3.1,5.0
picota,-6.92,-76.33,25.35,100,40,1.5,34.0
zhengjiatun,43.51,123.51,0.25,72,51,5.65,0.25
sovetskiy,61.36,63.58,-6.75,85,0,4.7,-6.75
sabang,5.89,95.32,29.25,78,100,6.09,29.25
hualmay,-11.1,-77.61,26.45,58,70,3.57,26.45
hamilton,39.18,-84.53,7.98,65,90,3.6,9.44
almansa,38.87,-1.1,6.3,100,95,1.0,8.89
palu,-0.89,119.87,18.65,97,81,1.28,18.65
mangan,27.52,88.53,5.75,29,100,2.29,5.75
saint-joseph,-21.37,55.62,22.78,88,66,2.1,24.0
otjiwarongo,-20.46,16.65,22.0,64,60,0.5,22.0
sohbatpur,28.52,68.54,20.35,35,0,0.97,20.35
husavik,66.04,-17.34,1.0,86,66,4.1,1.0
manyana,-23.4,21.72,23.65,36,1,2.13,23.65
lakatoro,-16.1,167.42,26.0,94,75,1.0,26.0
imbituba,-28.24,-48.67,25.0,69,75,3.6,25.0
yueyang,29.33,113.09,12.35,79,100,3.73,12.35
erzin,36.96,36.2,13.69,100,40,2.6,15.0
minamata,32.22,130.4,1.0,100,75,1.5,1.0
esperance,-33.87,121.9,18.0,88,100,2.6,18.0
grande prairie,55.17,-118.8,-3.0,58,40,2.1,-3.0
astoria,46.19,-123.83,12.07,43,1,4.1,13.89
khandyga,62.67,135.6,-22.85,90,98,0.8,-22.85
wakkanai,45.41,141.67,0.25,60,56,10.05,0.25
atambua,-9.11,124.89,23.05,84,93,1.32,23.05
urusha,54.05,122.9,-6.05,92,100,1.48,-6.05
kaka,37.35,59.61,16.35,60,0,0.62,16.35
chkalovskoye,44.84,133.04,-9.15,85,0,2.6,-9.15
ketchikan,55.34,-131.65,6.52,52,1,7.7,7.0
lac du bonnet,50.25,-96.06,-5.56,68,95,2.68,-5.56
walvis bay,-22.96,14.51,16.88,82,7,2.1,17.0
tigzirt,36.89,4.12,16.15,90,100,1.01,16.15
xinye,32.52,112.35,12.25,53,100,2.01,12.25
upington,-28.45,21.26,27.0,39,66,3.6,27.0
sobolevo,54.43,31.9,1.25,58,100,6.49,1.25
nakamura,32.98,132.93,2.35,80,94,1.77,2.35
rio claro,-22.41,-47.56,24.15,85,60,1.34,24.15
praia da vitoria,38.73,-27.07,17.0,77,40,6.92,17.0
arrecife,28.96,-13.55,18.0,52,75,8.7,18.0
grants pass,42.44,-123.33,8.78,61,1,1.25,11.11
inzhavino,52.32,42.49,-2.55,76,0,3.59,-2.55
barrhead,55.8,-4.39,8.38,93,90,8.2,9.0
turayf,31.67,38.66,13.0,82,0,3.1,13.0
korla,41.76,86.15,4.44,85,0,4.37,4.44
paamiut,61.99,-49.67,-18.15,60,5,3.72,-18.15
alma,48.55,-71.65,-5.27,52,90,2.6,-3.33
kildare,53.16,-6.91,8.99,87,75,6.2,9.44
meiktila,20.87,95.87,22.05,26,0,4.69,22.05
lilongwe,-13.97,33.79,17.55,96,87,1.62,17.55
broken hill,-31.95,141.43,17.0,45,0,4.1,17.0
udachnyy,66.42,112.4,-20.0,83,90,1.0,-20.0
deputatskiy,69.3,139.9,-26.85,88,90,0.77,-26.85
porbandar,21.64,69.61,25.25,45,66,7.28,25.25
opuwo,-18.06,13.84,22.15,53,83,1.98,22.15
kurumkan,54.3,110.3,-6.45,96,100,1.01,-6.45
clarence town,-32.58,151.78,15.79,100,40,3.6,16.11
saryozek,44.36,77.98,6.65,38,100,2.34,6.65
yantal,56.85,105.25,-2.15,93,100,7.14,-2.15
codrington,-38.27,141.97,17.35,62,1,6.29,17.35
samarai,-10.62,150.67,24.75,84,99,1.64,24.75
bonavista,48.65,-53.11,-5.0,60,0,0.45,-5.0
channel-port aux basques,47.57,-59.14,-2.55,61,66,0.8,-2.55
bundaberg,-24.85,152.35,20.0,68,4,4.6,20.0
mantua,45.17,10.78,7.49,65,0,1.5,10.0
harper,4.38,-7.72,25.35,92,95,1.76,25.35
huambo,-12.78,15.74,17.35,95,100,1.29,17.35
esna,25.29,32.55,22.0,49,0,1.0,22.0
leticia,-4.22,-69.94,27.5,83,75,1.5,28.0
coruripe,-10.13,-36.18,26.65,83,99,4.27,26.65
domoni,-12.26,44.53,28.95,71,10,3.55,28.95
cap-chat,49.1,-66.68,-7.85,89,85,0.82,-7.85
umea,63.83,20.26,-1.58,68,97,1.0,-1.11
nago,26.59,127.98,13.14,93,75,2.1,15.0
chambishi,-12.63,28.05,18.05,98,100,1.61,18.05
launceston,-41.45,147.17,10.87,93,100,2.1,11.67
aloleng,16.13,119.78,21.85,80,29,2.9,21.85
brazzaville,-4.27,15.28,26.0,94,75,1.68,26.0
susanville,40.42,-120.65,1.47,86,90,4.1,2.22
kieta,-6.22,155.63,27.15,74,94,2.36,27.15
knyaze-volkonskoye,48.46,135.46,-6.0,53,0,7.0,-6.0
gunjur,13.2,-16.73,24.0,73,3,3.6,24.0
arenapolis,-14.45,-56.85,27.85,88,95,0.65,27.85
port shepstone,-30.74,30.45,15.95,83,94,1.39,15.95
omboue,-1.57,9.26,25.35,89,100,1.07,25.35
nemuro,43.32,145.57,-1.95,56,44,5.1,-1.95
karakol,42.49,78.39,0.25,33,100,2.16,0.25
fuling,29.7,107.39,9.15,95,100,1.41,9.15
arman,59.7,150.17,-11.95,77,100,3.38,-11.95
tucurui,-3.77,-49.67,24.55,86,100,1.46,24.55
mayo,38.89,-76.51,10.51,37,90,3.1,11.67
kavaratti,10.57,72.64,27.85,69,39,2.54,27.85
isilkul,54.91,71.27,-2.15,90,100,3.36,-2.15
manokwari,-0.87,134.08,22.35,72,77,2.55,22.35
magadan,59.57,150.8,-11.35,90,100,1.4,-11.35
tiznit,29.58,-9.5,11.15,84,94,2.63,11.15
susehri,40.16,38.09,-10.55,94,100,5.58,-10.55
huatusco,19.15,-96.95,23.95,45,4,2.29,23.95
roma,43.21,-75.46,7.31,28,1,5.1,10.0
